"","Comparison","Z","P.unadj","P.adj"
"1","Phoronid - Sediment",-2.67814790579913,0.00740305198326102,0.0111045779748915
"2","Phoronid - Tube",0.184299759670699,0.853778302452506,0.853778302452506
"3","Sediment - Tube",2.78006036484532,0.00543487946020159,0.0163046383806048
