"","Diversity","Metric","Category","pval","Fmod","padj"
"1","Dispersion","Weighted Unifrac","SampleType_v2",0.2508,1.47327556920133,0.5016
"2","Dispersion","Weighted Unifrac","Seagrass",0.6618,0.19274586124722,0.6618
